WT,FO,2025,TONNE,3,29594.12
WT,FO,2026,TONNE,3,29696.091
WT,FO,2027,TONNE,3,29797.213
WT,FO,2028,TONNE,3,29897.211
WT,FO,2029,TONNE,3,29996.184
WT,YLD,2010,TONNE_HA,0,3.025
WT,YLD,2011,TONNE_HA,0,2.947
WT,YLD,2012,TONNE_HA,0,3.029
WT,YLD,2013,TONNE_HA,0,3.325
WT,YLD,2014,TONNE_HA,0,2.986
WT,YLD,2015,TONNE_HA,0,2.919
WT,YLD,2016,TONNE_HA,0,3.557
WT,YLD,2017,TONNE_HA,0,3.212
WT,YLD,2018,TONNE_HA,0,3.223
WT,YLD,2019,TONNE_HA,0,3.44
WT,YLD,2020,TONNE_HA,0,3.311
WT,YLD,2021,TONNE_HA,0,3.343
WT,YLD,2022,TONNE_HA,0,3.374
WT,YLD,2023,TONNE_HA,0,3.405
WT,YLD,2024,TONNE_HA,0,3.438
WT,YLD,2025,TONNE_HA,0,3.469
WT,YLD,2026,TONNE_HA,0,3.502
WT,YLD,2027,TONNE_HA,0,3.534
WT,YLD,2028,TONNE_HA,0,3.566
WT,YLD,2029,TONNE_HA,0,3.599
WT,PC,2010,KG_HAB,0,81.582
WT,PC,2011,KG_HAB,0,81.861
WT,PC,2012,KG_HAB,0,81.537
WT,PC,2013,KG_HAB,0,81.818
WT,PC,2014,KG_HAB,0,81.133
WT,PC,2015,KG_HAB,0,80.975
WT,PC,2016,KG_HAB,0,79.394
WT,PC,2017,KG_HAB,0,80.389
WT,PC,2018,KG_HAB,0,79.65
WT,PC,2019,KG_HAB,0,79.163
WT,PC,2020,KG_HAB,0,78.798
WT,PC,2021,KG_HAB,0,78.634
WT,PC,2022,KG_HAB,0,78.466
WT,PC,2023,KG_HAB,0,78.282
WT,PC,2024,KG_HAB,0,78.11
WT,PC,2025,KG_HAB,0,77.935
WT,PC,2026,KG_HAB,0,77.762
WT,PC,2027,KG_HAB,0,77.589
WT,PC,2028,KG_HAB,0,77.416
WT,PC,2029,KG_HAB,0,77.243
